a	0.125	0	able#1
a	0	0.75	unable#1
a	0	0	dorsal#2 abaxial#1
a	0	0	ventral#2 adaxial#1
a	0	0	acroscopic#1
a	0	0	basiscopic#1
a	0	0	abducting#1 abducent#1
a	0	0	adductive#1 adducting#1 adducent#1
a	0	0	nascent#1
a	0	0	emerging#2 emergent#2
a	0.25	0	dissilient#1
a	0.25	0	parturient#2
a	0	0	dying#1
a	0	0	moribund#2
a	0	0	last#5
a	0	0	abridged#1
a	0	0	shortened#4 cut#3
a	0	0	half-length#2
a	0	0	potted#3
a	0	0	unabridged#1
a	0.5	0	uncut#7 full-length#2
a	0.5	0	absolute#1
a	0.75	0	direct#10
a	0.5	0.5	unquestioning#2 implicit#2
a	0.125	0	infinite#4
a	0.5	0.125	living#3
a	0.25	0.5	relative#1 comparative#2
a	0	0	relational#1
a	0	0	absorptive#1 absorbent#1
a	0.375	0	sorbefacient#1 absorbefacient#1
a	0	0.75	assimilatory#1 assimilative#2 assimilating#1
a	0	0	hygroscopic#1
a	0	0.125	receptive#4
a	0	0	shock-absorbent#1
a	0	0	spongy#2 spongelike#2
a	0	0	thirsty#4
a	0	0.5	nonabsorptive#1 nonabsorbent#1
a	0	0.5	resistant#5 repellent#3
a	0	0	surface-assimilative#1 adsorptive#1 adsorbent#1
a	0	0.25	chemosorptive#1 chemisorptive#1
a	0	0.25	nonadsorptive#1 nonadsorbent#1
a	0.5	0	absorbable#1
a	0.25	0	adsorbate#1 adsorbable#1
a	0	0	abstemious#1
a	0	0.625	abstinent#1 abstentious#1
a	0.5	0.25	spartan#4 austere#3 ascetical#2 ascetic#2
a	0	0	gluttonous#1
a	0	0	crapulous#2
a	0	0.5	crapulous#1 crapulent#1
a	0	0	wolfish#2 voracious#2 ravenous#2 ravening#3 rapacious#3 esurient#3 edacious#1
a	0	0	greedy#3
a	0	0.125	swinish#2 porcine#3 piggy#1 piggish#1 hoggish#1
a	0.125	0.375	too-greedy#1 overgreedy#1
a	0	0	abstract#1
a	0.375	0	notional#4 ideational#1 conceptional#1
a	0.375	0.25	conceptual#1
a	0	0	ideal#2
a	0.125	0.125	ideological#2 ideologic#1
a	0.625	0.25	concrete#1
a	0	0	objective#4
a	0	0	tangible#2 real#4
a	0	0.25	abundant#1
a	0	0.25	galore#2 abounding#1
a	0.125	0	rich#12 plentiful#2 plenteous#1 copious#2 ample#2
a	0	0	voluminous#3 copious#1
a	0.25	0.625	easy#12
a	0	0.25	riotous#1 profuse#1 luxuriant#3 lush#1 exuberant#3
a	0	0.5	thick#10
a	0.125	0.375	long#9
a	0.125	0.5	rife#2 plethoric#1 overabundant#1
a	0	0.25	plentiful#1
a	0	0	rampant#3
a	0	0.25	rank#5
a	0.125	0.5	superabundant#1
a	0	0	teeming#1
a	0	0.375	torrential#3
a	0.125	0.5	verdant#1
a	0	0.25	scarce#1
a	0	0.875	rare#3
a	0	0.625	tight#6
a	0	0.625	mistreated#1 maltreated#1 ill-treated#1 abused#2
a	0	0.75	battered#3
a	0.375	0.25	unabused#1
a	0.625	0	acceptable#1
a	0.25	0	bankable#2
a	0.25	0.625	unimpeachable#3 unexceptionable#1
a	0	0.5	unobjectionable#3
a	0.125	0.375	unacceptable#2
a	0	0.375	objectionable#2 exceptionable#1
a	0.625	0	accessible#1
a	0.375	0	reachable#1 approachable#3
a	0.625	0	getatable#1 get-at-able#1 come-at-able#2
a	0.125	0.125	ready_to_hand#1 handy#1
a	0.5	0.125	unaccessible#1 inaccessible#1
a	0.125	0	remote#4 outback#1
a	0.125	0.25	untrodden#1 untrod#1 untracked#1 trackless#2 roadless#1 pathless#1
a	0	0	unreached#1 unreachable#1 unapproachable#2 out_of_reach#1
a	0	0.625	ungetatable#1 un-get-at-able#1 un-come-at-able#1
a	0.5	0	accommodative#1 accommodating#1
